event_id,trigger,payload_concept,audit_significance,downstream_consumers,replay_idempotency
DOCUMENT_READY_FOR_SIGNATURE,MarkReady succeeded,document_id;from=DRAFT;to=READY;version;actor;authority_context,lifecycle_transition,Journal;Editorial write-lock;Notification optional,same_command_noop_or_conflict
DOCUMENT_RETURNED_TO_DRAFT,ReturnToDraft succeeded,document_id;from=READY;to=DRAFT;version;actor;reason_optional,lifecycle_transition,Editorial unlock;Localization re-check,repeat_return_noop
DOCUMENT_SIGNED,SignDocument succeeded,document_id;from=READY;to=SIGNED;signer_snapshot;version;snapshot_ref,lifecycle_transition;legal_boundary,Renderer;Journal;Registration queue;Audit export,no_repeat_sign
DOCUMENT_REGISTERED,RegisterDocument succeeded,document_id;from=SIGNED;to=REGISTERED;registration_number;registration_date;actor,lifecycle_transition;official_record,Journal;Execution projection;External registry adapter,no_double_register
DOCUMENT_VOIDED,void command succeeded,document_id;from=*;to=VOIDED;void_kind;reason;source_state;version,lifecycle_terminal,Journal filter;Execution void;Compensating hint,already_voided_error
DOCUMENT_CANCELLED,CancelDocument succeeded,document_id;void_kind=CANCEL;reason;source DRAFT or READY,void_subtype,Journal;no execution touch,idempotent_void_guard
DOCUMENT_ANNULLED,AnnulDocument succeeded,document_id;void_kind=ANNUL;reason;source SIGNED or REGISTERED,void_subtype,Execution projection void;Historical retention,idempotent_void_guard
DOCUMENT_ARCHIVED,ArchiveDocument succeeded,document_id;archive_state=ARCHIVED;lifecycle_unchanged;reason,orthogonal_state,Journal hide;Immutability guard,already_archived_error
DOCUMENT_RESTORED,RestoreDocument succeeded,document_id;archive_state=ACTIVE;lifecycle_unchanged,orthogonal_state,Journal restore,not_archived_error
SIGNED_SNAPSHOT_CREATED,atomic with DOCUMENT_SIGNED,snapshot_id;content_hash;locale_bundle_ref;structure_ref;items_ref;attachments_manifest,legal_immutability,PDF render;Audit;Reproducibility check,one_per_sign_event
REGISTRATION_NUMBER_ASSIGNED,atomic with DOCUMENT_REGISTERED,number;scope;year;sequence;policy_ref,official_numbering,Journal display;External registry,unique_per_document
LIFECYCLE_VALIDATION_FAILED,any command rejected,command;failed_rules;actor,authorization_decision,Security audit;UX,append_only_no_state_change
WAIVER_ISSUED,policy waiver on L005/L006/L021,command;rule_id;actor;reason,policy_exception,Audit;Compliance,one_waiver_per_transition
